Nquest;Indicaçãodedataehora;@1.ParacomeçarselecioneemqualcategoriadeusuáriodoSistemadeBiblio;@2.Informequaloseusexo;@3.Casosejaalunoaselecioneacategoriadeensinodoseucurso;@4.Selecioneemqualáreadoconhecimentooseucursoestáinserido;@5.Selecioneasbibliotecasquevocêfrequenta;@6.Possuialgumtipodedeficiência;@7.Sesimselecionequaléasuadeficiência;@8.QualisdosserviçoseourecursosoferecidospelaBibliotecaUniversit;@9.Emquaisdosseguintescanaisvocêidentificaadivulgaçãodosserviços;@10.VocêjáacessouapáginadabibliotecanaInternet;@11.Vocêtemrecebidoasnotificaçõesemitidasautomaticamentepelosist;@12.Qualoseugraudesatisfaçãoemrelaçãoaocatálogoonline;@13.QualoseugraudesatisfaçãoemrelaçãoaoPortaldePeriódicosdaCAPES;@14.QualoseugraudesatisfaçãoemrelaçãoàBibliotecaDigitaldeTeseseD;@15.QualoseugraudesatisfaçãoemrelaçãoaoRepositórioInstitucionalR;@16.Osserviçoseourecursosdepesquisadisponibilizadospelapáginadab;@17.Deixeaquiseucomentáriocríticaeousugestãosobreosserviçoserecu;@18.Ohoráriodefuncionamentonasbibliotecasquevocêfrequentatematen;@19.Qualoseugraudesatisfaçãocomacordialidadeeouempatiaporpartedo;@20.Vocêjánecessitoudoauxíliodosservidoresdobalcãodeempréstimoda;@21.Sesimqualoseugraudesatisfaçãoquantoaesseatendimento;@22.Vocêjáfoiatendidoporalgumabibliotecárioanasbibliotecasquevoc;@23.Sesimqualoseugraudesatisfaçãoquantoaesseatendimento;@24.Vocêjánecessitouseratendidopeloserviçodecomutaçãobibliográfi;@25.Sesimqualoseugraudesatisfaçãoquantoaesseatendimento;@26.Qualoseugraudesatisfaçãoquantoàeficiêncianaemissãodedeclaraç;@27.Deixeaquiseucomentáriocríticaeousugestãosobreoatendimentonas;@28.Vocêjárecorreuàorientaçãonanormalizaçãodetrabalhosacadêmicos;@29.Sesimqualoseugraudesatisfaçãoquantoaessaorientação;@30.Vocêjáacessoualgumdosrecursoseouferramentasdeauxílioànormali;@31.Sesimqualoseugraudesatisfaçãoquantoaessesrecursos;@32.Naelaboraçãodetrabalhosacadêmicoscomovocêcostumafazeroseulev;@33.Vocêjásolicitouelaboraçãodefichacatalográficaemalgumadasbibl;@34.Sesimqualoseugraudesatisfaçãoquantoàeficiêncianaelaboraçãoen;@35.Deixeaquiseucomentáriocríticaeousugestãosobreosserviçoserecu;@36.VocêjáparticipoudealgumdostreinamentosoferecidospeloSistemad;@37.Sesimqualoseugraudesatisfaçãoquantoaessetreinamento;@38.Vocêjáfezusodealgumdostutoriaisdisponibilizadosnositedabibli;@39.Sesimqualoseugraudesatisfaçãoquantoaessestutorialis;@40.Deixeaquiseucomentáriocríticaeousugestãosobreasatividadesdee;@41.Abibliografiadasdisciplinasdoseucursoestádisponívelnasbiblio;@42.Aquantidademáximadematerialbibliográficoemprestadoporusuário;@43.Aquantidademáximadediasdeempréstimoéde25diasparaalunospesqui;@44.Vocêjáacessoualgumdoscanaiseouferramentasdedivulgaçãodenovas;@45.Oacervodelivroseletrônicosebookscontemplaademandadoseucurso;@46.Deixeaquiseucomentáriocríticaeousugestãosobreacomposiçãodoac;@47.Nasuaopiniãoaclimatizaçãonasbibliotecasquevocêfrequentasãosa;@48.Nasuaopiniãoaluminosidadenasbibliotecasquevocêfrequentasãosa;@49.Nasuaopiniãoaquantidadedemobíliamesascadeirasetc.existentena;@50.Comovocêconsideraaquantidadedecomputadoresdisponibilizadospa;@51.QualoseugraudesatisfaçãocomaqualidadedaredeWiFiinternetsemfi;@52.Deixeaquiseucomentáriocríticaeousugestãosobreainfraestrutura;@53.Ascondiçõesdeacessibilidadenoentornodasbibliotecasquevocêfre;@54.Ascondiçõesdeacessibilidadenoprédiodasbibliotecasquevocêfreq;@55.Nasuaopiniãoosservidoresresponsáveispeloatendimentonasbiblio;@56.VocêconheceoserviçoBUemLibrasdisponívelnapáginadaBibliotecaU;@57.SesimqualoseugraudesatisfaçãoquantoaoserviçoBUemLibras;@58.Oserviçodelevantamentobibliográficoparapessoascomdeficiência;@59.Oserviçodedigitalizaçãodematerialbibliográficoparapessoascom;@60.Apesquisanocatálogoonlinefeitapormeiodomóduloacessibilidaded;@61.Acomposiçãodoacervoemformatoacessíveltaiscomodisponibilizaçã;@62.Deixeaquiseucomentáriocríticaeousugestãosobreaacessibilidade;@63.NasuaopiniãoestequestionáriocontemploutodasasdimensõesdoSist;@64.Qualoseugraudecompreensãodasquestõesaoresponderestequestioná;@65.Deixeaquiseucomentáriocríticaeousugestãosobreaestruturadeste
413;19-abr-2016;Aluno;Feminino;Graduação – Bacharelado;Engenharia de Alimentos;Biblioteca de Ciências e Tecnologia (BCT), Biblioteca do Curso de Física (BCF), Biblioteca do Curso de Matemática (BCM), Biblioteca do Instituto de Ciências do Mar (BICM);Não; ;Acesso à coleção ABNT online, Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Orientação presencial na normalização de trabalhos acadêmicos, Portal de Periódicos da CAPES, Salas de estudo, Tutoriais (passo a passo de como utilizar os serviços oferecidos);Facebook, Site da biblioteca, Portal da UFC;Sim;Sim;5;2;3;4;2; ;Sim;3;Sim;5;Sim;5;Não conheço;9;4; ;Sim;5;Sim;3;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet, Recorro ao acervo da(s) biblioteca(s) da UFC;Não conheço;9; ;Sim;5;Sim;5; ;Parcialmente;Suficiente;Suficiente;Sim;Não sei; ;Sim;Parcialmente;Parcialmente;Insuficiente;1; ;Parcialmente;Parcialmente;Parcialmente;Não;9;Não conheço;Não conheço;Parcialmente;Não conheço; ;Sim;5; 
414;19-abr-2016;Aluno;Masculino;Graduação – Bacharelado;Ciências Contábeis;Biblioteca da Faculdade de Economia, Administração, Atuária e Contabilidade (BFEAAC), Biblioteca de Ciências Humanas (BCH);Não; ;Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares;Notificações enviadas por e-mail;Sim;Sim;4;4;4;4;3; ;Sim;5;Sim;5;Não;9;Não;9;3; ;Não;9;Não;9;Recorro ao acervo da(s) biblioteca(s) da UFC;Não;9; ;Não;9;Não;9; ;Parcialmente;Suficiente;Suficiente;Não;Não sei; ;Sim;Sim;Sim;Suficiente;3; ;Parcialmente;Sim;Sim;Não;9;Não conheço;Não conheço;Sim;Não conheço; ;Sim;5; 
415;19-abr-2016;Aluno;Feminino;Graduação – Bacharelado;Administração;Biblioteca da Faculdade de Direito (BFD), Biblioteca da Faculdade de Economia, Administração, Atuária e Contabilidade (BFEAAC), Biblioteca de Ciências e Tecnologia (BCT), Biblioteca de Ciências Humanas (BCH);Não; ;Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Salas de estudo;Facebook, Site da biblioteca, Portal da UFC;Sim;Sim;5;3;3;3;4;É necessário um serviço para quando o sistema esteja fora do ar, pois levamos os livros de ônibus lotado, para chegar na faculdade e ter que voltar para casa com os livros. Para devolver os livros não é necessário nem senha, nem digital. Poderia ser feito o recebimento dos livros.;Não;2;Sim;1;Não sei;9;Não conheço;9;3;É necessário um treinamento sobre como tratar os estudantes, ninguém é criança na faculdade.;Não conheço;9;Não conheço;9;Recorro ao acervo da(s) biblioteca(s) da UFC;Não;9;Essa avaliação é muito longa. Da próxima vez façam algo realmente rápido;Não;9;Não;9;Deviam ser convidativas, pois não conheço;Parcialmente;Insuficiente;Suficiente;Não conheço;Não sei;Mais livros atuais. Menos livros desmanchando;Sim;Sim;Parcialmente;Insuficiente;5;Deveria ser permitido na biblioteca da feaac o estudo na biblioteca, uma biblioteca tão grande onde não podemos estudar sem alugar os livros. Nem entrar com caderno pode.;Sim;Sim;Não;Não;9; ; ; ; ; ;Sim;5;Questionário extremamente longo e cansativo. Perguntas longas, deveriam ter feito pequenos questionários de 10 questões e lançando para nós aos poucos.
416;20-abr-2016;Aluno;Masculino;Graduação – Bacharelado;Engenharia de Produção Mecânica;Biblioteca da Faculdade de Economia, Administração, Atuária e Contabilidade (BFEAAC), Biblioteca de Ciências e Tecnologia (BCT), Biblioteca do Curso de Física (BCF), Biblioteca do Curso de Matemática (BCM);Não; ;Atendimento presencial na(s) biblioteca(s), Catalogação na publicação (ficha catalográfica), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Salas de estudo;Banners, Folders, Facebook, Notificações enviadas por e-mail, Site da biblioteca;Sim;Parcialmente;3;3;3;3;4; ;Sim;2;Sim;4;Sim;4;Não conheço;9;2; ;Não conheço;9;Não conheço;9;Pesquiso em outros sites na Internet;Não conheço;9; ;Não;9;Não;9; ;Sim;Suficiente;Insuficiente;Não;Não sei; ;Sim;Sim;Parcialmente;Insuficiente;1; ;Sim;Sim;Parcialmente;Não;9; ; ; ; ; ;Parcialmente;5; 
417;20-abr-2016;Aluno;Feminino;Graduação – Bacharelado;Química;Biblioteca de Ciências e Tecnologia (BCT);Não; ;Consulta local ao acervo físico, Empréstimo de exemplares, Salas de estudo;Nenhum;Não;Sim;3;4;4;4;4;mais livros de química em português;Sim;4;Sim;4;Sim;4;Não conheço;9;3; ;Não conheço;9;Sim;4;Pesquiso em outros sites na Internet;Não conheço;9; ;Não conheço;9;Não conheço;9; ;Parcialmente;Suficiente;Suficiente;Não;Não sei; ;Parcialmente;Parcialmente;Parcialmente;Insuficiente;2; ;Sim;Sim;Parcialmente;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Sim;3; 
418;20-abr-2016;Aluno;Feminino;Graduação – Bacharelado;Geografia;Biblioteca de Ciências e Tecnologia (BCT);Não; ;Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Biblioteca Digital Brasileira de Teses e Dissertações (BDTD), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Mecanismo online para referências (MORE), Portal de Periódicos da CAPES, Treinamentos de usuários (normalização, bases de dados etc.), Tutoriais (passo a passo de como utilizar os serviços oferecidos);Facebook, Instagram da UFC, Notificações enviadas por e-mail, Site da biblioteca;Sim;Sim;5;5;5;5;4; ;Sim;5;Não;9;Não;9;Não conheço;9;5; ;Sim;5;Sim;5;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet;Não conheço;9; ;Não;9;Sim;5; ;Parcialmente;Suficiente;Suficiente;Não;Não; ;Sim;Sim;Parcialmente;Insuficiente;5; ;Sim;Sim;Sim;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Sim;5; 
419;20-abr-2016;Aluno;Masculino;Graduação – Bacharelado;Engenharia de Alimentos;Biblioteca de Ciências e Tecnologia (BCT), Biblioteca do Curso de Física (BCF), Biblioteca do Curso de Matemática (BCM);Não; ;Consulta local ao acervo físico, Empréstimo de exemplares, Salas de estudo;Banners, Cartazes, Facebook, Página inicial do catálogo online, Site da biblioteca, Portal da UFC;Sim;Sim;4;4;4;4;2;"Coloquem as fotos de cada livro no catálogo online

Mais acesso à internet para a comunidade acadêmica, com mais computadores e sem limite de tempo para acesso.";Sim;3;Não;9;Não;9;Não conheço;9;9; ;Não conheço;9;Não conheço;9;Nunca fiz levantamento bibliográfico;Não conheço;9; ;Não;9;Não conheço;9; ;Parcialmente;Insuficiente;Insuficiente;Não conheço;Não sei; ;Sim;Parcialmente;Parcialmente;Insuficiente;3; ;Sim;Sim;Não;Não;9;Não conheço;Não conheço;Parcialmente; ; ;Parcialmente;3; 
420;20-abr-2016;Aluno;Feminino;Graduação – Bacharelado;Engenharia de Produção Mecânica;Biblioteca de Ciências e Tecnologia (BCT);Não; ;Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi);Site da biblioteca;Sim;Parcialmente;5;1;1;1;3;"Na Bct o wifi não presta. 
Fiz uma reserva e não fui avisada por email.
Nas salas de estudo, os ar-condicionados não prestam.";Sim;5;Sim;5;Sim;5;Não conheço;9;9; ;Não conheço;9;Não conheço;9;Pesquiso em outros sites na Internet;Não conheço;9; ;Não conheço;9;Não conheço;9; ;Não;Suficiente;Insuficiente;Não conheço;Não sei; ;Não;Sim;Sim;Insuficiente;9; ;Sim;Sim;Parcialmente;Não;9;Não conheço;Não conheço;Parcialmente;Não conheço;No pergamum,  não tem dizendo em qual biblioteca você fez a reserva.;Sim;4; 
421;20-abr-2016;Aluno;Feminino;Graduação – Bacharelado;Biblioteconomia;Biblioteca de Ciências Humanas (BCH);Não; ;Acesso à coleção ABNT online, Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Consulta local ao acervo físico, Empréstimo de exemplares, Salas de estudo;Facebook;Sim;Sim;4;4;4;4;3; ;Sim;1;Sim;1;Não;9;Não;9;3; ;Não conheço;9;Sim;4;Nunca fiz levantamento bibliográfico;Não;9; ;Não;9;Não;9; ;Parcialmente;Suficiente;Suficiente;Não;Não sei; ;Sim;Sim;Sim;Suficiente;3; ;Não;Sim;Não;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Parcialmente;4; 
422;20-abr-2016;Aluno;Feminino;Graduação – Bacharelado;Fisioterapia;Biblioteca das Casas de Cultura Estrangeira (BCCE), Biblioteca de Ciências da Saúde (BCS), Biblioteca de Ciências Humanas (BCH);Não; ;Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Salas de estudo;Facebook, Notificações enviadas por e-mail, Página inicial do catálogo online, Portal da UFC;Sim;Sim;3;3;3;2;3; ;Sim;5;Sim;5;Sim;5;Não conheço;9;9; ;Não conheço;9;Sim;4;Pesquiso no catálogo online, Pesquiso em outros sites na Internet;Não;9; ;Não;9;Sim;3; ;Parcialmente;Suficiente;Suficiente;Não conheço;Não sei;Ter mais recurso para comprar  livros físicos, principalmente nos semestres iniciais da saúde que existe disciplinas comum a maioria dos cursos na área. O que acarreta falta deles para quem não tem condições nem de fotocopiar os livros.;Sim;Sim;Sim;Insuficiente;3; ;Sim;Sim;Sim;Não;9;Não conheço;Não conheço;Parcialmente;Não conheço; ;Sim;5; 
